body,answer,offset,category
フランス語で「隠れ家」という意味である、エカチェリーナ2世によって作られたロシアの美術館は何でしょう？,エルミタージュ美術館,11,芸術・音楽
通常は第一バイオリンの首席奏者が務める、オーケストラで団員たちを取りまとめる役職を何というでしょう？,コンサートマスター,19,芸術・音楽
「万物の根源は火である」と提唱した古代ギリシアの哲学者は誰でしょう？,ヘラクレイトス,8,文学・歴史
日本銀行本店本館や東京駅の赤レンガの駅舎を設計した、日本の建築家は誰でしょう？,辰野金吾,12,文学・歴史
「予め起こる現象を説明してはならない」「同じマジックを繰り返してはならない」「タネ明かしをしてはならない」の3つからなるマジックを行う際の三原則のことを、「何の三原則」というでしょう？,サーストンの三原則,19,生活
ラテン語で「機械仕掛けの神」という意味がある、演劇などの物語において収拾がつかなくなった局面を、神のような絶対的な力を持つ存在を登場させることによって収束させる演出技法を何というでしょう？,デウス・エクス・マキナ,14,芸術・音楽
「かく示された」という意味のラテン語に由来する、数学の証明などで証明終了を表すのに用いるアルファベット3文字は何でしょう？,Q.E.D,8,自然科学
アルコール度数96%のため飲酒中は喫煙禁止とされている、ポーランド原産のウォッカは何でしょう？,スピリタス,10,生活
スポーツのカバディにおいて、攻撃側が「カバディ、カバディ」と発声し続ける行為を何と言うでしょう？,キャンと,18,スポーツ
「写真が間違っている」「気持ちが入っていないからボールだ」「俺がルールブックだ」などの言葉で知られるプロ野球の元審判は誰でしょう？,二出川延明,11,スポーツ
7〜10年を1周期とする景気の循環のことを、発見者であるフランスの経済学者の名前をとって何の波というでしょう？,ジュグラーの波,12,社会
日本で一番目の元号は大火ですが、二番目の元号は何でしょう？,白雉（はくち）,12,文学・歴史
「ゆく川の流れは絶えずして、しかももとの水にあらず」という書き出しで始まる、鴨長明の随筆は何でしょう？,方丈記,10,文学・歴史
定免法や上米の制などの米に関する政策を多く行ったことから「米公方」と呼ばれた、徳川幕府第八代将軍は誰でしょう？,徳川吉宗,8,文学・歴史
チェスにおいて、将棋の桂馬と同じ動きをするコマは何でしょう？,ナイト,13,生活
ラテン語で「雌牛」を意味する言葉に由来する、体内に抗体を作って感染症を予防する薬剤は何でしょう？,ワクチン,9,自然科学
宝塚歌劇団に存在する5つの組の中で、出来たのが最も新しいのは何組でしょう？,宙組,20,エンタメ
第16回アカデミー賞で3部門を獲得した、「君の瞳に乾杯」という台詞が有名な、マイケル・カーティス監督の映画は何でしょう？,カサブランカ,14,エンタメ
「自由と正義」の象徴とされている、弁護士バッジのモチーフとなっている花は何でしょう？,ひまわり,17,社会
ロシアのチュクチ半島にある、ユーラシア大陸最東端の岬は何でしょう？,デジニョフ岬,14,社会